*****************************
*** Declaration key words ***
*****************************

class|Declare class|<html>Declare the class in ASM files:<br><table border=1><tr><td>class &lt;ClassCompleteName&gt;</td></tr></table></html>
I2L|int to long|<html> Description : Convert int to long<br> Syntax :<br> <table border=1><tr><td>I2L</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (long)</li> </ul></html>
I2S|int to short|<html> Description : Convert int to short<br> Syntax :<br> <table border=1><tr><td>I2S</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (int)</li> </ul> Details: Truncated to a short, then sign-extended to an int result</html>
IADD|Addition of int|<html> Description : Add int<br> Syntax :<br> <table border=1><tr><td>IADD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : addition result (int)</li> </ul></html>
IALOAD|Load int from array|<html> Description : Load int from array<br> Syntax :<br> <table border=1><tr><td>IALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : Reference on array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (int)</li> </ul></html>
IAND|AND on int|<html> Description : And on int<br> Syntax :<br> <table border=1><tr><td>IAND</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : and result (int)</li> </ul></html>
IASTORE|Store int to array|<html> Description : Store int to array<br> Syntax :<br> <table border=1><tr><td>IASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : Reference on array</li> <li>index : Array index (int)</li> <li>value : Value to put in array at given index (int)</li> </ul></html>
ICONST|Push -1 to 5|<html> Description : Push int constant -1, 0, 1 ,2, 3, 4 or 5<br> Syntax :<br> <table border=1><tr><td>ICONST &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : Value to push -1, 0, 1 ,2, 3, 4 or 5</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>vlaue : value pushed -1, 0, 1 ,2, 3, 4 or 5 (int)</li> </ul></html>
IDIV|Division of int|<html> Description : Divide int<br> Syntax :<br> <table border=1><tr><td>IDIV</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : division result (int)</li> </ul></html>
IF_ACMPEQ|IF == go label|<html> Description : Branch if reference comparison (equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ACMPEQ &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : reference to first object</li> <li>value2 : reference to second object</li> </ul></html>
IF_ACMPNE|If != go label|<html> Description : Branch if reference comparison (not equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ACMPNE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : reference to first object</li> <li>value2 : reference to second object</li> </ul></html>
IF_ICMPEQ|IF == go label|<html> Description : Branch if int comparison (equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPEQ &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IF_ICMPGE|If >= go label|<html> Description : Branch if int comparison (greater or equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPGE  &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IF_ICMPGT|If > go label|<html> Description : Branch if int comparison (greater) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPGT &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IF_ICMPLE|If <= go label|<html> Description : Branch if int comparison (lower or equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPLE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IF_ICMPLT|If < go label|<html> Description : Branch if int comparison (lower) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPLT &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IF_ICMPNE|If != go label|<html> Description : Branch if int comparison (not equal) succeeds<br> Syntax :<br> <table border=1><tr><td>IF_ICMPNE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value1, value2 => ...</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> </ul></html>
IFEQ|If == 0 go label|<html> Description : Branch if int comparison (equal) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFEQ &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFGE|If >= 0 go label|<html> Description : Branch if int comparison (greater or equal) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFGE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFGT|If > 0 go label|<html> Description : Branch if int comparison (greater) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFGT &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFLE|If <= 0 go label|<html> Description : Branch if int comparison (lower or equal) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFLE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFLT|If < 0 go label|<html> Description : Branch if int comparison (lower) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFLT &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFNE|If != 0 go label|<html> Description : Branch if int comparison (not equal) with zero succeeds<br> Syntax :<br> <table border=1><tr><td>IFNE &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : int to compare at 0</li> </ul></html>
IFNONNULL|If != null go label|<html> Description : Branch if reference not null<br> Syntax :<br> <table border=1><tr><td>IFNONNULL &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : reference object to compare with null</li> </ul></html>
IFNULL|If == null go label|<html> Description : Branch if reference is null<br> Syntax :<br> <table border=1><tr><td>IFNULL &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go if condition respected</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : reference object to compare with null</li> </ul></html>
IINC|Increment local variable|<html> Description : Increment local variable by constant<br> Syntax :<br> <table border=1><tr><td>IINC &lt;name&gt; &lt;value&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> <li>value : Value to increment with (int : signed byte)</li> </ul> Operand stack : <table border=1><tr><td>No change</td></tr></table><br></html>
ILOAD|Load local variable|<html> Description : Load int from local variable<br> Syntax :<br> <table border=1><tr><td>ILOAD &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : method variable or parameter value (int)</li> </ul> Details: If method variable, MUST be previously initialized (Even with 0)</html>
IMPDEP1|???|<html> <img src="class:jhelp.gui.ResourcesGUI/warning.png" width="32" height="32"/>Description : Implementation dependent instruction (Not recommend to use it)<br> Syntax :<br> <table border=1><tr><td>IMPDEP1</td></tr></table><br></html>
IMPDEP2|???|<html> <img src="class:jhelp.gui.ResourcesGUI/warning.png" width="32" height="32"/>Description : Implementation dependent instruction (Not recommend to use it)<br> Syntax :<br> <table border=1><tr><td>IMPDEP2</td></tr></table><br></html>
IMUL|Multiplication of int|<html> Description : Multiply int<br> Syntax :<br> <table border=1><tr><td>IMUL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : multiplication result (int)</li> </ul></html>
INEG|Negate int|<html> Description : Negate int<br> Syntax :<br> <table border=1><tr><td>INEG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to negate (int)</li> <li>result : negative result (int)</li> </ul></html>
INSTANCEOF|Check type|<html> Description : Determine if object is of given type<br> Syntax :<br> <table border=1><tr><td>INSTANCEOF &lt;ClassName&gt;</td></tr></table><br> Where : <ul> <li>ClassName : class name in complete version or short version (If short version must be in imports, java.lang or current class package)</li> </ul> Operand stack : <table border=1><tr><td>.., objectref => ..., result</td></tr></table><br> Where : <ul> <li>objectref : Reference on object to check the instance</li> <li>result : Comparison result (int)</li> </ul> Details: If objectref is null, the instanceof instruction pushes an int result of 0 as an int on the operand stack.<br> Otherwise, the named class, array, or interface type is resolved (§5.4.3.1). If objectref is an instance of the resolved class or array or implements the resolved interface, the instanceof instruction pushes an int result of 1 as an int on the operand stack; otherwise, it pushes an int result of 0</html>
INVOKEINTERFACE|Invoke interface method|<html> Description : Invoke interface method<br> Syntax :<br> <table border=1><tr><td>INVOKEINTERFACE &lt;methodCompleteDescription&gt; &lt;number&gt;</td></tr></table><br> Where : <ul> <li>methodCompleteDescription : Complete reference to a method : &lt;classCompleteName&gt;.&lt;methodName&gt;&lt;methodSignature&gt;</li> <li>number : number of arguments > 0</li> </ul> <br> Operand stack : <table border=1><tr><td>..., objectref, [arg1, [arg2 ...]] => ...</td></tr></table><br> Where : <ul> <li>objectref : Reference to object to call</li> <li>arg(i) : arguments send to method <li> </ul> Details:Let C be the class of objectref. The actual method to be invoked is selected by the following lookup procedure: <ul> <li>If C contains a declaration for an instance method with the same name and descriptor as the resolved method, then this is the method to be invoked, and the lookup procedure terminates.</li> <li>Otherwise, if C has a superclass, this same lookup procedure is performed recursively using the direct superclass of C; the method to be invoked is the result of the recursive invocation of this lookup procedure.</li> <li>Otherwise, an AbstractMethodError is raised.</li> </ul></html>
INVOKESPECIAL|Invoke super/private/init|<html> Description : Invoke instance method; special handling for superclass, private, and instance initialization method invocations<br> Syntax :<br> <table border=1><tr><td>INVOKESPECIAL &lt;methodCompleteDescription&gt;</td></tr></table><br> Where : <ul> <li>methodCompleteDescription : Complete reference to a method : &lt;classCompleteName&gt;.&lt;methodName&gt;&lt;methodSignature&gt;</li> </ul> Operand stack : <table border=1><tr><td>..., objectref, [arg1, [arg2 ...]] => ...</td></tr></table><br> Where : <ul> <li>objectref : Reference to object to call</li> <li>arg(i) : arguments send to method <li> </ul></html>
INVOKESTATIC|Invoke static method|<html> Description : Invoke a class (static) method<br> Syntax :<br> <table border=1><tr><td>INVOKESPECIAL &lt;methodCompleteDescription&gt;</td></tr></table><br> Where : <ul> <li>methodCompleteDescription : Complete reference to a method : &lt;classCompleteName&gt;.&lt;methodName&gt;&lt;methodSignature&gt;</li> </ul> Operand stack : <table border=1><tr><td>..., [arg1, [arg2 ...]] => ...</td></tr></table><br> Where : <ul> <li>arg(i) : arguments send to method <li> </ul></html>
INVOKEVIRTUAL|Invoke instance method|<html> Description : Invoke instance method; dispatch based on class<br> Syntax :<br> <table border=1><tr><td>INVOKEVIRTUAL &lt;methodCompleteDescription&gt;</td></tr></table><br> Where : <ul> <li>methodCompleteDescription : Complete reference to a method : &lt;classCompleteName&gt;.&lt;methodName&gt;&lt;methodSignature&gt;</li> </ul> Operand stack : <table border=1><tr><td>..., objectref, [arg1, [arg2 ...]] => ...</td></tr></table><br> Where : <ul> <li>objectref : Reference to object to call</li> <li>arg(i) : arguments send to method <li> </ul></html>
IOR|OR on int|<html> Description : Or on int<br> Syntax :<br> <table border=1><tr><td>IOR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : or result (int)</li> </ul></html>
IREM|Remainder of int|<html> Description : Remainder on int<br> Syntax :<br> <table border=1><tr><td>IREM</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : remainder result (int)</li> </ul></html>
IRETURN|Return int|<html> Description : Return int from method<br> Syntax :<br> <table border=1><tr><td>IRETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => [empty]</td></tr></table><br> Where : <ul> <li>value : Value to return (int)</li> </ul></html>
ISHL|<< on int|<html> Description : Shift left int (&lt;&lt;)<br> Syntax :<br> <table border=1><tr><td>ISHL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : shift left result (int)</li> </ul></html>
ISHR|>> on int|<html> Description : Shift right int (&gt;&gt;)<br> Syntax :<br> <table border=1><tr><td>ISHR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : shift right result (int)</li> </ul></html>
ISTORE|Store on local variable|<html> Description : Store int to local variable<br> Syntax :<br> <table border=1><tr><td>ISTORE &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>..., value => ... </td></tr></table><br> Where : <ul> <li>value : value to put in method variable or parameter (int)</li> </ul></html>
ISUB|Subtraction of int|<html> Description : Subtract int<br> Syntax :<br> <table border=1><tr><td>ISUB</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : subtraction result (int)</li> </ul></html>
IUSHR|>>> on int|<html> Description : Logical shift right int (&gt;&gt;&gt;)<br> Syntax :<br> <table border=1><tr><td>ISHR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : shift right result (int)</li></html>
IXOR|XOR on int|<html> Description : XOR on int<br> Syntax :<br> <table border=1><tr><td>IXOR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first int</li> <li>value2 : second int</li> <li>result : XOR result (int)</li> </ul></html>
JSR|Jump subroutine|<html> Description : Jump subroutine<br> Syntax :<br> <table border=1><tr><td>JSR &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label to jump</li> </ul> Operand stack : <table border=1><tr><td>... => ..., address</td></tr></table><br> Where : <ul> <li>address : Address to return</li> </ul> Details: In sub routine remember to store return address in local variable to use with <i>RET</i></html>
JSR_W|Jump subroutine|<html> Description : Jump subroutine<br> Syntax :<br> <table border=1><tr><td>JSR_W &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label to jump</li> </ul> Operand stack : <table border=1><tr><td>... => ..., address</td></tr></table><br> Where : <ul> <li>address : Address to return</li> </ul> Details: In sub routine remember to store return address in local variable to use with <i>RET</i><br> <i>JSR_W</i> are for long jump, use <i>JSR</i> and compiler will choose the best one for you</html>
L2D|long to double|<html> Description : Convert long to double<br> Syntax :<br> <table border=1><tr><td>L2D</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (long)</li> <li>result : converted value (double)</li> </ul> Details: Converted to a double result using IEEE 754 round to nearest mode</html>
L2F|long to float|<html> Description : Convert long to float<br> Syntax :<br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (long)</li> <li>result : converted value (float)</li> </ul> Details: Converted to a float result using IEEE 754 round to nearest mode.</html>
L2I|long to int|<html> Description : Convert long to int<br> Syntax :<br> <table border=1><tr><td>L2I</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (long)</li> <li>result : converted value (int)</li> </ul> Details: Converted to an int result by taking the low-order 32 bits of the long value and discarding the high-order 32 bits.</html>
LADD|Addition on long|<html> Description : Add long<br> Syntax :<br> <table border=1><tr><td>LADD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : addition result (long)</li> </ul></html>
LALOAD|Load long from array|<html> Description : Load long from array<br> Syntax :<br> <table border=1><tr><td>LALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : Reference on array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (long)</li> </ul></html>
LAND|AND on long|<html> Description : And on long<br> Syntax :<br> <table border=1><tr><td>LAND</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : and result (long)</li> </ul></html>
LASTORE|Store long to array|<html> Description : Load long from array<br> Syntax :<br> <table border=1><tr><td>LASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : Reference on array</li> <li>index : Array index (int)</li> <li>value : Value to put in array at given index (long)</li> </ul></html>
LCMP|Compare long|<html> Description : Compare long<br> Syntax :<br> <table border=1><tr><td>LCMP</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ...,result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : comparison result (int)</li> </ul> <br> Details:If value1 is greater than value2, the int value 1 is pushed onto the operand stack. If value1 is equal to value2, the int value 0 is pushed onto the operand stack. If value1 is less than value2, the int value -1 is pushed onto the operand stack.</html>
LCONST|Push 0 or 1|<html> Description : Push long constant 0 or 1<br> Syntax :<br> <table border=1><tr><td>LCONST &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : value to push 0 or 1</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value pushed value 0 or 1 (long)</li> </ul></html>
LDC|Push from constant pool|<html> Description : Push item from run-time constant pool. Laod a constant<br> Syntax :<br> <table border=1><tr><td>LDC &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : constant value</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value reference to value (If String) or value itself</li> </ul> Details: Value of constant can be : <ul> <li>boolean : true or false</li> <li>character : 'a', 'z', '\n', ... (Must be inside ' like Java convention for character)</li> <li>int : 123, 89, 20, -9, ...</li> <li>float : 1.23f, 5f, -.36f, ... Must end with f</li> <li>String : "This is a phrase.", "", "Blabla\n\t\"New line\"", ... Like Java String convention</li> </ul> Since byte and short are carry by int, use int for them<br> For long and double use <i>LDC2_W</i></html>
LDC_W|Push from constant pool|<html> Description : Push item from run-time constant pool. Laod a constant<br> Syntax :<br> <table border=1><tr><td>LDC_W &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : constant value</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value reference to value (If String) or value itself</li> </ul> Details: Value of constant can be : <ul> <li>boolean : true or false</li> <li>character : 'a', 'z', '\n', ... (Must be inside ' like Java convention for character)</li> <li>int : 123, 89, 20, -9, ...</li> <li>float : 1.23f, 5f, -.36f, ... Must end with f</li> <li>String : "This is a phrase.", "", "Blabla\n\t\"New line\"", ... Like Java String convention</li> </ul> Since byte and short are carry by int, use int for them<br> For long and double use <i>LDC2_W</i></html>
LDC2_W|Push from constant pool|<html> Description : Push item from run-time constant pool. Laod a constant<br> Syntax :<br> <table border=1><tr><td>LDC2_W &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : constant value</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value reference to value (If String) or value itself</li> </ul> Details: Value of constant can be : <ul> <li>long : 3l, 40L, -8l, ... end with l like Java</li> <li>double : 12.3, 0.3, 8d, 3.2D, d at end is mandatory if can be confused with int (No decimal separator)</li> </ul> For other constants use <i>LDC</i> or <i>LDC_W</i></html>
LDIV|Division of long|<html> Description : Divide long<br> Syntax :<br> <table border=1><tr><td>LDIV</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : division result (long)</li> </ul></html>
LLOAD|Load from local variable|<html> Description : Load long from local variable<br> Syntax :<br> <table border=1><tr><td>LLOAD &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : method variable or parameter value (long)</li> </ul> Details: If method variable, MUST be previously initialized (Even with 0)</html>
LMUL|Multiplication of long|<html> Description : Multiply long<br> Syntax :<br> <table border=1><tr><td>LMUL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : multiplication result (long)</li> </ul></html>
LNEG|Negate long|<html> Description : Negate long<br> Syntax :<br> <table border=1><tr><td>LNEG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : Value to negate (long)</li> <li>result : Negative result (long)</li> </ul> <br> Details:</html>
LOOKUPSWITCH|Switch to labels|<html> Description : Switch to label depends on given key<br> Syntax :<br> <table border=1><tr><td>LOOKUPSWITCH (&lt;match&gt; &lt;label&gt;)* &lt;defaultLabel&gt;  </td></tr></table><br> Where : <ul> <li>match : Match value (int)</li> <li>label : Label to go if key match to match value</li> <li>defaultLabel : Label to go if key not match</li> </ul> <br> Operand stack : <table border=1><tr><td>..., key => ...</td></tr></table><br> Where : <ul> <li>key : the key value (int)</li> </ul> <br> Details: <i>LOOKUPSWITCH</i> is designed for switch can't respect <i>TABLESWITCH</i> constraints.<br> If you don't know the best choose between <i>LOOKUPSWITCH</i> and <i>TABLESWITCH</i> use the <i>SWITCH</i> instruction it will choose the best optimized instruction to use</html>
LOR|OR on long|<html> Description : Or on long<br> Syntax :<br> <table border=1><tr><td>LOR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : or result (long)</li> </ul></html>
LREM|Remainder on long|<html> Description : Remainder long<br> Syntax :<br> <table border=1><tr><td>LREM</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : remainder result (long)</li> </ul></html>
LRETURN|Return long|<html> Description : Return long from method<br> Syntax :<br> <table border=1><tr><td>LRETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => [empty]</td></tr></table><br> Where : <ul> <li>value : Value to return (long)</li> </ul></html>
LSHL|<< on long|<html> Description : Shift left long (&lt;&lt;)<br> Syntax :<br> <table border=1><tr><td>LSHL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second int</li> <li>result : shift left result (long)</li> </ul></html>
LSHR|>> on long|<html> Description : Shift right long (&gt;&gt;)<br> Syntax :<br> <table border=1><tr><td>LSHR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second int</li> <li>result : shift right result (long)</li> </ul></html>
LSTORE|Store to local variable|<html> Description : Store long to local variable<br> Syntax :<br> <table border=1><tr><td>LLOAD &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : value to put in method variable or parameter (long)</li> </ul></html>
LSUB|Subtraction on long|<html> Description : Subtract long <br> Syntax :<br> <table border=1><tr><td>LSUB</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : subtraction result (long)</li> </ul></html>
LUSHR|>>> on long|<html> Description : Logical Shift right long (&lt;&lt;&lt;)<br> Syntax :<br> <table border=1><tr><td>LSHR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second int</li> <li>result : shift right result (long)</li> </ul></html>
LXOR|XOR on long|<html> Description : XOR long<br> Syntax :<br> <table border=1><tr><td>LSHR</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first long</li> <li>value2 : second long</li> <li>result : XOR result (long)</li> </ul></html>
MONITORENTER|Enter monitor|<html> Description : Enter monitor for object<br> Syntax :<br> <table border=1><tr><td>MONITORENTER</td></tr></table><br> Operand stack : <table border=1><tr><td>..., objectref => ...</td></tr></table><br> Where : <ul> <li>objectref : reference of object to enter in monitor</li> </ul> Details: Each object is associated with a monitor. A monitor is locked if and only if it has an owner. The thread that executes monitorenter attempts to gain ownership of the monitor associated with objectref, as follows: <ul> <li>If the entry count of the monitor associated with objectref is zero, the thread enters the monitor and sets its entry count to one. The thread is then the owner of the monitor.</li> <li>If the thread already owns the monitor associated with objectref, it reenters the monitor, incrementing its entry count.</li> <li>If another thread already owns the monitor associated with objectref, the thread blocks until the monitor's entry count is zero, then tries again to gain ownership.</li> </ul></html>
